Turn;Who;Role;Utterance;Category
188;Jeff Spears;dev;not a subset;Check
189;nordmanr;client;Right;Agreement
190;beckd;client;Time....;Other
191;whitew;dev;time?;Other
192;Jeff Spears;dev;whoops that was 5.0;Other
193;Jeff Spears;dev;407;Other
194;hanlonc;client;Good point we only have 13minutes left.;Other
205;whitew;dev;nope, thats it;Other
206;Jeff Spears;dev;ok then;Other
207;beckd;client;awesome;Other
208;Jeff Spears;dev;done deal;Other
209;beckd;client;who's saving this convo;Other
210;Jeff Spears;dev;??;Other
211;nordmanr;client;Thank you, gentlemen, we look forward to working with you;Other
212;nordmanr;client;"Anybody who wants to can save it 
 Decision 1 - I'm scribe
 Decision 2 - Main idea behind software is:
 a secure messenger clone for the client end, with file sharing and transfers capabilties. These clients are facilitated by a centralized 
 server that stores all user info and logs the conversations and stores them in a DB. 
 With application sharing capabilities
 Decision 3 - Sharing code implies the ability to paste code into without formatting looking ugly.  Should not have maximum message length and preserve indentation.
 Decision 4 - Directory of users is contact list of everyone in company sorted by department, location
 Decision 5 - For archives, they are private unless invited to view by owner, option to make public available.
 Decision 6 - For the moment, anyone connected to our private TCP/IP network can access the system.  In future releases may include off site ip's
 Decision 7 - Logfiles should be accessible by an authorized employees
 Decision 8 - Support staff is supporting our workstations exclusively
 Decision 9 - WinXP's remote assitance would be fine, as long as it is integrated into our messaging system and only hosts on private network should be able to use features.
 Decision 10 - We are willing to increase our max memory usage to 15+ Mb, but would like as little as possible.
";Other
